EmployeeID,New Role,DateChanged,ReasonForLeaving
5653,Quit,2025-01-24,Poor Management
5654,Quit,2021-09-19,Better Offer
5655,Manager,2025-02-14,NA
5656,Quit,2022-03-13,Better Offer
5657,Bartender,2022-01-24,NA
5657,Quit,2022-12-11,Better Offer
5658,Quit,2024-07-20,Insufficient Wages
5659,Quit,2024-03-12,Burntout
5660,Quit,2025-01-19,Burntout
5661,Bartender,2024-09-29,NA
5661,Quit,2025-08-09,Lack of Growth
5662,Quit,2024-02-21,Lack of Growth
5663,Quit,2024-06-30,Better Offer
5664,Quit,2021-08-09,Lack of Growth
5666,Quit,2024-01-09,Lack of Growth
5667,Quit,2021-07-18,Poor Management
5668,Server,2022-06-14,NA
5668,Bartender,2023-06-01,NA
5668,Quit,2024-04-03,Relocation
5670,Quit,2025-10-22,Poor Management
5671,Quit,2025-06-07,Better Offer
5672,Bartender,2023-02-18,NA
5672,Quit,2024-06-30,Burntout
5673,Quit,2024-05-31,Poor Management
5674,Quit,2021-08-31,Burntout
5675,Quit,2025-01-01,Poor Management
5676,Quit,2025-12-15,Poor Management
5677,Quit,2024-03-18,Burntout
5678,Quit,2021-01-21,Better Offer
5679,Quit,2024-05-22,Better Offer
5680,Shift Lead,2025-05-27,NA
5681,Quit,2024-11-27,Relocation
5682,Quit,2023-02-07,Better Offer
5683,Quit,2023-10-29,Better Offer
5684,Bartender,2021-04-16,NA
5684,Quit,2021-12-28,Better Offer
5685,Quit,2021-08-28,Poor Management
5686,Server,2023-12-23,NA
5686,Quit,2024-06-28,Lack of Growth
5687,Quit,2023-12-28,Better Offer
5688,Quit,2024-11-13,Poor Management
5689,Quit,2025-03-21,Lack of Growth
5690,Quit,2023-11-04,Burntout
5691,Quit,2022-09-24,Insufficient Wages
5692,Quit,2021-04-22,Burntout
5693,Bartender,2023-01-24,NA
5693,Quit,2024-05-08,Better Offer
5694,Quit,2021-10-19,Better Offer
5695,Quit,2022-08-23,Lack of Growth
5696,Quit,2023-01-23,Better Offer
5697,Server Assistant,2024-05-26,NA
5697,Bartender,2025-02-19,NA
5697,Quit,2025-09-06,Better Offer
5698,Quit,2022-10-26,Burntout
5699,Quit,2023-03-26,Lack of Growth
5700,Quit,2022-10-25,Insufficient Wages
5701,Quit,2025-09-04,Insufficient Wages
5702,Quit,2024-05-30,Lack of Growth
5703,Quit,2025-09-22,Burntout
5705,Bartender,2022-03-19,NA
5705,Quit,2022-12-10,Relocation
5706,Quit,2025-11-08,Better Offer
5707,Bartender,2024-09-26,NA
5707,Quit,2025-05-19,Better Offer
5708,Bartender,2022-06-14,NA
5708,Quit,2023-04-22,Poor Management
5709,Quit,2021-07-15,Better Offer
5712,Quit,2025-02-02,Lack of Growth
5713,Quit,2023-02-02,Better Offer
5714,Quit,2023-12-17,Burntout
5715,Dismissed,2023-02-13,Policy Violation
5716,Bartender,2021-09-03,NA
5716,Quit,2022-09-17,Burntout
5718,Quit,2023-10-26,Burntout
5719,Dismissed,2024-08-24,Performance
5720,Dismissed,2023-06-17,Performance
5721,Quit,2025-03-14,Better Offer
5722,Quit,2024-01-10,Lack of Growth
5724,Quit,2021-02-23,Burntout
5725,Quit,2022-09-03,Burntout
5726,Server,2024-04-20,NA
5726,Quit,2024-10-23,Insufficient Wages
5727,Quit,2023-02-23,Poor Management
5728,Quit,2023-12-21,Relocation
5729,Quit,2021-04-28,Better Offer
5730,Quit,2023-07-13,Lack of Growth
5731,Dismissed,2024-01-27,Performance
5732,Bartender,2024-01-12,NA
5732,Quit,2024-11-05,Burntout
5733,Quit,2021-09-17,Better Offer
5734,Quit,2023-01-09,Better Offer
5735,Quit,2021-01-19,Poor Management
5736,Quit,2023-04-02,Poor Management
5737,Quit,2023-09-14,Relocation
5738,Quit,2024-05-24,Poor Management
5739,Quit,2022-01-02,Insufficient Wages
5740,Quit,2023-03-10,Lack of Growth
5741,Quit,2025-03-09,Lack of Growth
5742,Quit,2021-12-27,Poor Management
5743,Quit,2021-11-23,Poor Management
5744,Manager,2025-02-19,NA
5745,Dismissed,2023-05-18,Performance
5746,Quit,2025-11-22,Insufficient Wages
5749,Bartender,2023-04-26,NA
5749,Quit,2024-02-16,Lack of Growth
5750,Quit,2024-10-31,Insufficient Wages
5751,Bartender,2024-07-27,NA
5751,Quit,2025-04-07,Burntout
5752,Server,2022-02-24,NA
5752,Bartender,2022-08-28,NA
5752,Quit,2023-02-27,Better Offer
5753,Quit,2024-10-27,Better Offer
5754,Quit,2025-08-14,Burntout
5755,Quit,2025-04-24,Better Offer
5756,Bartender,2022-03-07,NA
5756,Shift Lead,2023-07-01,NA
5756,Quit,2024-07-21,Poor Management
5757,Dismissed,2025-03-26,Attendance
5758,Dismissed,2022-05-28,Policy Violation
5759,Quit,2021-04-28,Burntout
5760,Dismissed,2024-08-21,Performance
5761,Quit,2025-01-13,Better Offer
5762,Quit,2025-06-30,Poor Management
5763,Quit,2024-12-19,Poor Management
5764,Server Assistant,2023-03-15,NA
5764,Bartender,2023-09-14,NA
5764,Manager,2024-10-20,NA
5765,Quit,2022-07-04,Better Offer
5766,Quit,2023-07-02,Lack of Growth
5767,Quit,2021-10-30,Better Offer
5768,Quit,2022-11-30,Better Offer
5769,Dismissed,2021-06-27,Performance
5770,Manager,2025-03-21,NA
5771,Quit,2025-04-08,Lack of Growth
5772,Quit,2024-10-12,Lack of Growth
5773,Dismissed,2024-10-07,Performance
5774,Quit,2025-03-26,Insufficient Wages
5775,Server,2023-10-03,NA
5775,Quit,2024-06-07,Poor Management
5776,Bartender,2024-04-26,NA
5776,Quit,2025-08-17,Better Offer
5777,Dismissed,2023-10-24,Performance
5778,Quit,2025-11-28,Burntout
5779,Quit,2023-11-16,Burntout
5780,Quit,2021-09-01,Insufficient Wages
5781,Dismissed,2023-08-24,Performance
5783,Quit,2024-07-30,Better Offer
5784,Dismissed,2024-01-31,Performance
5785,Manager,2024-07-11,NA
5786,Quit,2021-11-25,Relocation
5787,Quit,2025-03-16,Insufficient Wages
5788,Dismissed,2022-09-27,Performance
5789,Bartender,2021-03-20,NA
5789,Quit,2022-03-23,Burntout
5790,Quit,2025-09-16,Burntout
5791,Quit,2022-07-21,Poor Management
5792,Quit,2023-07-07,Lack of Growth
5794,Bartender,2024-03-28,NA
5794,Quit,2025-08-26,Better Offer
5795,Quit,2022-05-16,Burntout
5796,Quit,2021-10-15,Lack of Growth
5797,Bartender,2022-04-15,NA
5797,Quit,2023-02-22,Poor Management
5798,Quit,2023-05-29,Lack of Growth
5799,Quit,2023-06-07,Better Offer
5800,Bartender,2024-03-23,NA
5800,Quit,2025-04-08,Lack of Growth
5801,Quit,2021-10-04,Relocation
5802,Quit,2024-01-03,Poor Management
5803,Quit,2025-09-30,Better Offer
5804,Quit,2023-03-25,Better Offer
5805,Quit,2023-11-07,Poor Management
5806,Quit,2022-05-04,Poor Management
5807,Quit,2024-07-27,Insufficient Wages
5808,Quit,2024-05-01,Better Offer
5809,Quit,2023-08-21,Insufficient Wages
5810,Quit,2025-08-22,Burntout
5811,Quit,2025-08-27,Better Offer
5812,Quit,2022-12-13,Lack of Growth
5813,Quit,2022-09-30,Lack of Growth
5814,Quit,2025-11-08,Better Offer
5815,Quit,2021-02-21,Poor Management
5816,Quit,2023-03-25,Better Offer
5817,Quit,2021-09-27,Poor Management
5818,Server,2025-01-27,NA
5818,Quit,2025-08-30,Burntout
5819,Quit,2023-06-07,Better Offer
5820,Quit,2023-02-27,Burntout
5821,Quit,2023-02-27,Lack of Growth
5822,Bartender,2022-08-15,NA
5822,Shift Lead,2023-02-24,NA
5822,Quit,2024-06-17,Better Offer
5823,Quit,2023-09-15,Poor Management
5824,Dismissed,2024-10-30,Performance
5825,Quit,2025-03-10,Lack of Growth
5826,Quit,2021-04-30,Better Offer
5827,Quit,2023-03-19,Better Offer
5828,Server Assistant,2024-07-22,NA
5828,Bartender,2025-02-18,NA
5828,Quit,2025-10-14,Lack of Growth
5829,Quit,2021-04-16,Lack of Growth
5830,Quit,2023-10-29,Better Offer
5831,Shift Lead,2024-02-12,NA
5831,Quit,2025-07-15,Better Offer
5832,Quit,2024-11-16,Lack of Growth
5833,Bartender,2023-09-17,NA
5833,Quit,2025-03-03,Better Offer
5834,Quit,2025-04-02,Poor Management
5835,Dismissed,2023-09-26,Attendance
5836,Bartender,2022-04-22,NA
5836,Quit,2023-03-19,Lack of Growth
5837,Quit,2023-07-29,Poor Management
5838,Quit,2025-02-22,Better Offer
5839,Quit,2024-08-11,Lack of Growth
5840,Quit,2024-12-14,Burntout
5841,Server,2024-03-20,NA
5841,Quit,2024-11-11,Burntout
5842,Bartender,2023-03-28,NA
5842,Quit,2024-05-28,Better Offer
5843,Server,2025-01-10,NA
5843,Quit,2025-09-07,Better Offer
5844,Quit,2025-12-31,Better Offer
5845,Quit,2023-08-27,Burntout
5847,Bartender,2021-10-22,NA
5847,Quit,2022-08-09,Better Offer
5848,Quit,2025-01-24,Better Offer
5849,Bartender,2024-02-19,NA
5849,Dismissed,2025-02-26,Performance
5850,Quit,2023-11-19,Insufficient Wages
5851,Manager,2025-06-14,NA
5852,Dismissed,2025-10-30,Policy Violation
5853,Bartender,2024-07-09,NA
5853,Manager,2025-05-16,NA
5855,Dismissed,2021-10-14,Performance
5856,Quit,2022-08-22,Better Offer
5857,Dismissed,2025-03-23,Policy Violation
5859,Dismissed,2024-06-17,Performance
5860,Quit,2022-04-08,Better Offer
5861,Quit,2025-10-07,Better Offer
5862,Quit,2024-04-10,Poor Management
5863,Quit,2021-07-31,Insufficient Wages
5864,Quit,2022-04-18,Insufficient Wages
5865,Quit,2021-10-19,Better Offer
5866,Quit,2021-11-22,Burntout
5867,Quit,2025-11-02,Poor Management
5868,Server,2021-11-20,NA
5868,Bartender,2022-06-22,NA
5868,Shift Lead,2022-12-30,NA
5868,Dismissed,2023-09-04,Attendance
5869,Dismissed,2024-03-14,Policy Violation
5870,Quit,2023-08-03,Better Offer
5871,Quit,2022-02-19,Better Offer
5872,Quit,2024-03-13,Better Offer
5873,Quit,2022-07-16,Poor Management
5874,Quit,2021-01-29,Burntout
5876,Dismissed,2025-12-02,Attendance
5877,Quit,2022-10-15,Lack of Growth
5878,Quit,2021-09-26,Lack of Growth
5879,Dismissed,2025-11-28,Performance
5880,Quit,2025-10-05,Better Offer
5881,Bartender,2025-02-23,NA
5881,Quit,2025-09-18,Better Offer
5882,Bartender,2024-07-28,NA
5882,Quit,2025-02-04,Better Offer
5883,Dismissed,2022-06-18,Attendance
5884,Bartender,2021-09-06,NA
5884,Quit,2022-03-25,Lack of Growth
5886,Quit,2025-01-28,Lack of Growth
5888,Quit,2025-06-17,Lack of Growth
5889,Quit,2025-06-24,Lack of Growth
5890,Quit,2025-10-04,Better Offer
5891,Quit,2023-01-17,Insufficient Wages
5892,Quit,2023-06-29,Lack of Growth
5893,Quit,2025-07-29,Burntout
5894,Quit,2023-05-15,Better Offer
5895,Dismissed,2025-09-21,Performance
5896,Quit,2022-10-23,Insufficient Wages
5897,Quit,2021-11-20,Burntout
5898,Quit,2025-02-22,Lack of Growth
5899,Quit,2024-10-06,Poor Management
5901,Quit,2025-01-27,Better Offer
5902,Server,2023-01-20,NA
5902,Quit,2023-09-15,Poor Management
5903,Quit,2022-12-26,Lack of Growth
5904,Quit,2022-08-25,Insufficient Wages
5905,Manager,2025-03-02,NA
5906,Quit,2024-02-15,Insufficient Wages
5907,Quit,2025-01-25,Poor Management
5908,Quit,2022-03-29,Lack of Growth
5909,Dismissed,2025-10-31,Performance
5910,Dismissed,2023-03-11,Performance
5911,Server,2024-06-19,NA
5911,Quit,2025-03-05,Better Offer
5912,Quit,2022-10-27,Lack of Growth
5913,Quit,2022-04-30,Poor Management
5914,Server,2025-03-22,NA
5914,Quit,2025-09-25,Lack of Growth
5915,Quit,2024-07-05,Better Offer
5916,Quit,2022-10-24,Lack of Growth
5917,Quit,2023-06-19,Poor Management
5918,Quit,2024-11-28,Better Offer
5919,Quit,2022-09-18,Lack of Growth
5920,Quit,2022-09-25,Burntout
5921,Quit,2025-05-09,Lack of Growth
5922,Quit,2021-12-05,Lack of Growth
5924,Quit,2024-12-30,Better Offer
5925,Quit,2022-06-16,Better Offer
5926,Quit,2025-09-01,Insufficient Wages
5927,Quit,2022-03-09,Better Offer
5928,Bartender,2022-03-12,NA
5928,Quit,2023-03-13,Lack of Growth
5930,Bartender,2022-12-24,NA
5930,Shift Lead,2024-04-13,NA
5930,Quit,2025-09-11,Lack of Growth
5931,Quit,2021-01-27,Insufficient Wages
5932,Bartender,2023-06-26,NA
5932,Quit,2024-06-10,Poor Management
5933,Quit,2025-08-26,Poor Management
5934,Quit,2022-04-04,Better Offer
5935,Quit,2024-11-04,Insufficient Wages
5936,Dismissed,2025-09-28,Policy Violation
5937,Quit,2025-12-24,Insufficient Wages
5938,Quit,2022-03-14,Lack of Growth
5939,Quit,2022-10-08,Burntout
5940,Quit,2021-12-23,Burntout
5941,Quit,2024-02-23,Burntout
5942,Quit,2025-09-20,Insufficient Wages
5943,Quit,2021-01-24,Poor Management
5944,Quit,2025-04-03,Insufficient Wages
5945,Quit,2025-11-01,Better Offer
5946,Server,2022-05-30,NA
5946,Shift Lead,2023-06-02,NA
5946,Quit,2024-01-10,Lack of Growth
5947,Quit,2023-01-16,Poor Management
5948,Quit,2022-08-07,Relocation
5949,Bartender,2023-04-15,NA
5949,Quit,2024-02-19,Better Offer
5950,Quit,2024-05-05,Burntout
5951,Quit,2023-07-16,Relocation
5952,Server,2023-04-21,NA
5952,Quit,2023-12-13,Burntout
5953,Quit,2025-10-21,Lack of Growth
5954,Quit,2025-11-09,Better Offer
5955,Bartender,2024-06-25,NA
5955,Quit,2025-09-21,Insufficient Wages
5956,Quit,2024-12-08,Burntout
5957,Quit,2022-11-06,Insufficient Wages
5958,Quit,2022-08-29,Relocation
5959,Quit,2025-05-03,Insufficient Wages
5960,Dismissed,2022-07-09,Attendance
5961,Quit,2022-01-02,Lack of Growth
5962,Quit,2024-03-24,Burntout
5963,Quit,2022-08-20,Insufficient Wages
5964,Quit,2024-02-03,Insufficient Wages
5965,Quit,2023-01-18,Poor Management
5966,Server,2023-05-03,NA
5966,Quit,2023-12-04,Lack of Growth
5967,Bartender,2023-12-04,NA
5967,Shift Lead,2024-07-16,NA
5967,Quit,2025-07-09,Poor Management
5968,Quit,2024-06-22,Relocation
5969,Quit,2024-07-16,Better Offer
5970,Quit,2024-05-06,Burntout
5971,Dismissed,2025-11-21,Performance
5972,Quit,2023-06-19,Better Offer
5974,Quit,2022-12-25,Insufficient Wages
5975,Quit,2023-05-20,Better Offer
5976,Shift Lead,2021-12-08,NA
5976,Quit,2023-02-19,Better Offer
5977,Quit,2023-08-31,Insufficient Wages
5978,Quit,2025-10-07,Insufficient Wages
5979,Bartender,2024-07-21,NA
5979,Quit,2025-08-11,Insufficient Wages
5982,Quit,2022-07-10,Poor Management
5983,Bartender,2021-07-01,NA
5983,Quit,2022-03-17,Burntout
5984,Server,2022-10-22,NA
5984,Bartender,2023-06-23,NA
5984,Dismissed,2024-01-18,Attendance
5985,Bartender,2024-06-15,NA
5985,Quit,2025-04-29,Better Offer
5986,Bartender,2021-11-08,NA
5986,Quit,2022-09-01,Better Offer
5987,Quit,2021-04-27,Burntout
5988,Bartender,2024-04-18,NA
5988,Quit,2025-07-09,Poor Management
5989,Quit,2025-09-13,Better Offer
5990,Quit,2023-01-31,Burntout
5991,Shift Lead,2022-10-08,NA
5991,Quit,2023-09-30,Poor Management
5992,Dismissed,2021-11-09,Performance
5993,Quit,2024-05-12,Relocation
5994,Quit,2024-09-27,Relocation
5996,Quit,2024-11-20,Lack of Growth
5997,Manager,2025-01-24,NA
5999,Dismissed,2025-10-29,Performance
6000,Quit,2022-03-12,Lack of Growth
6001,Dismissed,2023-02-26,Policy Violation
6002,Quit,2025-07-13,Burntout
6003,Quit,2022-04-04,Burntout
6004,Quit,2023-04-13,Insufficient Wages
6005,Server,2021-03-14,NA
6005,Quit,2021-09-30,Lack of Growth
6006,Dismissed,2024-04-20,Performance
6007,Quit,2021-08-24,Better Offer
6008,Dismissed,2023-09-08,Performance
6009,Dismissed,2022-01-14,Performance
6010,Quit,2025-03-31,Poor Management
6011,Quit,2021-10-14,Lack of Growth
6012,Server,2024-10-23,NA
6012,Quit,2025-04-26,Insufficient Wages
6013,Quit,2023-08-28,Burntout
6014,Dismissed,2021-02-03,Performance
6015,Quit,2024-02-26,Poor Management
6016,Quit,2023-04-25,Better Offer
6017,Quit,2021-03-13,Lack of Growth
6018,Dismissed,2025-02-21,Policy Violation
6019,Shift Lead,2023-12-17,NA
6019,Manager,2024-10-27,NA
6020,Quit,2025-07-27,Better Offer
6021,Quit,2023-10-26,Better Offer
6022,Quit,2024-04-11,Burntout
6023,Quit,2022-03-01,Better Offer
6024,Quit,2025-02-07,Lack of Growth
6025,Quit,2025-01-14,Lack of Growth
6026,Bartender,2022-12-13,NA
6026,Quit,2023-11-24,Insufficient Wages
6027,Quit,2024-07-31,Lack of Growth
6028,Quit,2021-04-15,Lack of Growth
6031,Quit,2021-05-26,Lack of Growth
6032,Quit,2025-08-13,Lack of Growth
6033,Quit,2023-04-27,Better Offer
6034,Quit,2023-03-14,Burntout
6035,Quit,2022-08-12,Better Offer
6036,Quit,2023-06-26,Lack of Growth
6037,Shift Lead,2023-10-18,NA
6037,Quit,2025-02-01,Better Offer
6038,Dismissed,2025-10-27,Performance
6039,Quit,2024-01-31,Better Offer
6041,Quit,2024-06-25,Insufficient Wages
6042,Quit,2023-02-26,Insufficient Wages
6043,Quit,2022-09-06,Burntout
6044,Dismissed,2024-12-25,Performance
6045,Server Assistant,2023-07-16,NA
6045,Bartender,2024-02-13,NA
6045,Shift Lead,2025-02-22,NA
6045,Quit,2025-10-24,Better Offer
6046,Quit,2023-11-21,Burntout
6047,Quit,2024-09-27,Lack of Growth
6048,Quit,2022-07-19,Insufficient Wages
6049,Quit,2025-02-28,Insufficient Wages
6050,Quit,2021-05-19,Better Offer
6051,Dismissed,2025-07-23,Performance
6052,Bartender,2024-08-16,NA
6052,Quit,2025-07-25,Insufficient Wages
6053,Quit,2024-04-10,Relocation
6054,Quit,2022-01-23,Burntout
6055,Quit,2025-02-15,Insufficient Wages
6056,Manager,2025-05-20,NA
6057,Server,2022-07-31,NA
6057,Bartender,2023-06-29,NA
6057,Quit,2024-02-16,Insufficient Wages
6058,Bartender,2024-02-25,NA
6058,Quit,2025-02-18,Lack of Growth
6059,Quit,2025-10-25,Lack of Growth
6060,Bartender,2024-06-09,NA
6060,Quit,2025-11-26,Lack of Growth
6061,Quit,2023-05-15,Better Offer
6062,Bartender,2021-03-17,NA
6062,Shift Lead,2022-05-10,NA
6062,Quit,2023-02-15,Better Offer
6064,Quit,2025-08-30,Lack of Growth
6065,Quit,2022-08-29,Burntout
6066,Quit,2021-09-09,Burntout
