ApplicantID,PastRelevantExperience,YearsOfRelevantExperience,HighestEducationLevel,YearOfBirth,Hired
103076,True,1,High School,2006,False
103077,True,3,Bachelor,2000,True
103078,False,0,Associate Degree,2002,False
103079,True,1,Bachelor,2002,False
103080,True,1,High School,1997,False
103081,True,2,High School,2007,False
103082,False,0,High School,2003,False
103083,True,7,Associate Degree,2002,False
103084,True,2,High School,2007,False
103085,False,0,High School,1994,False
103086,True,4,Associate Degree,1994,False
103087,True,2,Associate Degree,1996,False
103088,True,1,Associate Degree,2004,False
103089,False,0,Bachelor,1997,False
103090,True,4,Associate Degree,2003,False
103091,False,0,Associate Degree,1997,False
103092,True,2,High School,2007,False
103093,False,0,Associate Degree,2002,False
103094,True,1,Bachelor,2000,False
103095,True,1,Bachelor,2005,False
103096,True,2,Associate Degree,2004,False
103097,False,0,Associate Degree,2003,False
103098,True,2,Associate Degree,1988,False
103099,True,6,High School,1996,False
103100,False,0,Bachelor,2002,False
103101,True,3,Associate Degree,2006,False
103102,True,2,High School,2006,False
103103,True,7,Bachelor,1987,False
103104,True,1,Bachelor,2002,False
103105,True,1,Master,2001,False
103106,False,0,Associate Degree,2002,False
103107,True,8,Associate Degree,2001,False
103108,True,5,High School,2000,False
103109,True,1,PhD,2000,False
103110,False,0,Associate Degree,2000,False
103111,False,0,High School,2008,False
103112,True,2,Associate Degree,1997,False
103113,False,0,Master,1999,False
103114,False,0,Bachelor,2000,False
103115,False,0,Bachelor,2003,False
103116,False,0,Associate Degree,2002,False
103117,True,1,Associate Degree,1992,False
103118,True,7,PhD,1994,False
103119,False,0,High School,2005,False
103120,True,2,Bachelor,2000,False
103121,True,5,Associate Degree,1996,False
103122,False,0,Associate Degree,1998,False
103123,True,2,Associate Degree,1998,False
103124,True,5,Associate Degree,1999,False
103125,True,1,Bachelor,2003,False
103126,True,1,Associate Degree,1998,False
103127,True,1,High School,2002,False
103128,True,3,Bachelor,2004,False
103129,True,2,High School,2001,False
103130,False,0,Associate Degree,1999,False
103131,False,0,High School,2005,False
103132,False,0,Bachelor,2005,False
103133,True,1,Associate Degree,2003,False
103134,True,2,Associate Degree,1991,False
103135,False,0,Bachelor,2003,False
103136,True,4,Associate Degree,2002,False
103137,False,0,Associate Degree,2003,True
103138,False,0,High School,1995,False
103139,True,5,Bachelor,2004,False
103140,True,2,Associate Degree,1997,False
103141,False,0,Bachelor,2002,False
103142,True,5,High School,2002,False
103143,False,0,Master,2001,False
103144,True,2,Bachelor,1989,False
103145,True,5,Bachelor,1997,True
103146,True,1,Bachelor,2002,False
103147,False,0,Bachelor,2005,False
103148,False,0,Bachelor,2003,False
103149,True,1,Associate Degree,1995,True
103150,True,2,High School,2002,False
103151,False,0,High School,2007,False
103152,False,0,Associate Degree,2003,False
103153,True,1,High School,1997,False
103154,True,1,High School,2008,False
103155,False,0,Associate Degree,1996,False
103156,True,1,High School,2000,False
103157,False,0,High School,2007,False
103158,True,1,High School,2007,False
103159,False,0,Associate Degree,2001,False
103160,True,3,High School,2006,False
103161,True,2,Bachelor,1993,True
103162,False,0,Associate Degree,2000,False
103163,True,2,High School,2001,False
103164,False,0,High School,1995,False
103165,False,0,Associate Degree,2003,True
103166,True,6,Associate Degree,2003,False
103167,False,0,Associate Degree,2004,False
103168,True,1,High School,2008,False
103169,False,0,High School,2001,False
103170,False,0,High School,2002,False
103171,False,0,High School,2007,False
103172,True,2,Bachelor,1993,False
103173,False,0,High School,1988,False
103174,False,0,High School,2003,False
103175,True,3,Bachelor,1997,False
103176,False,0,High School,2001,False
103177,False,0,Associate Degree,2001,False
103178,True,1,Associate Degree,2006,False
103179,False,0,High School,2007,False
103180,True,2,Associate Degree,1996,False
103181,True,1,Associate Degree,2001,False
103182,False,0,Associate Degree,2000,False
103183,False,0,PhD,2003,False
103184,False,0,Associate Degree,1997,False
103185,False,0,Associate Degree,1997,False
103186,True,1,Bachelor,1998,False
103187,False,0,High School,2001,False
103188,False,0,Bachelor,2002,False
103189,True,4,Associate Degree,1995,False
103190,False,0,Associate Degree,2001,False
103191,False,0,Bachelor,1998,False
103192,False,0,High School,2001,False
103193,True,1,High School,2006,False
103194,True,1,High School,1995,False
103195,False,0,Bachelor,2003,False
103196,False,0,Bachelor,2005,False
103197,True,6,Bachelor,1999,True
103198,False,0,High School,1996,True
103199,True,1,Bachelor,1997,False
103200,True,1,High School,2008,False
103201,True,1,Associate Degree,2006,False
103202,True,2,Associate Degree,1999,False
103203,True,2,Associate Degree,1993,False
103204,False,0,Associate Degree,1990,False
103205,False,0,High School,2007,False
103206,False,0,Bachelor,1994,False
103207,True,1,High School,2008,False
103208,True,3,Associate Degree,1995,False
103209,True,2,PhD,2001,True
103210,True,1,High School,2006,False
103211,True,3,Associate Degree,2005,False
103212,True,1,High School,2005,False
103213,False,0,High School,2005,False
103214,False,0,High School,1998,True
103215,False,0,High School,2005,False
103216,False,0,Bachelor,1999,False
103217,True,4,Bachelor,1990,False
103218,True,1,Associate Degree,2002,False
103219,False,0,Associate Degree,2000,False
103220,True,1,Associate Degree,2000,True
103221,False,0,High School,2007,False
103222,True,3,High School,2004,False
103223,True,5,Bachelor,2004,False
103224,True,1,Associate Degree,2001,False
103225,False,0,High School,2002,False
103226,False,0,Associate Degree,2006,False
103227,True,2,Associate Degree,1991,False
103228,True,2,High School,2007,False
103229,False,0,Associate Degree,2000,False
103230,False,0,High School,1994,False
103231,False,0,High School,2006,False
103232,True,3,High School,2005,False
103233,False,0,High School,2005,False
103234,True,4,High School,2004,False
103235,True,3,Associate Degree,2004,False
103236,False,0,Bachelor,2000,False
103237,True,1,Associate Degree,2005,False
103238,True,5,High School,1992,False
103239,False,0,High School,2004,False
103240,True,1,Bachelor,2001,False
103241,False,0,Associate Degree,1986,False
103242,False,0,Associate Degree,2002,False
103243,False,0,High School,1998,False
103244,True,2,Associate Degree,1983,False
103245,False,0,High School,2005,False
103246,True,1,Associate Degree,2000,False
103247,True,1,Bachelor,2000,False
103248,True,1,Bachelor,1999,False
103249,False,0,High School,2007,False
103250,False,0,Associate Degree,1999,False
103251,False,0,High School,2008,False
103252,True,5,Associate Degree,1992,False
103253,False,0,High School,2005,False
103254,False,0,Associate Degree,1999,False
103255,True,1,Associate Degree,2003,False
103256,False,0,High School,2005,False
103257,False,0,High School,2003,False
103258,True,3,Associate Degree,2002,False
103259,False,0,High School,2006,False
103260,True,5,Associate Degree,1997,False
103261,True,3,High School,2005,False
103262,False,0,Associate Degree,2006,False
103263,False,0,Associate Degree,2000,False
103264,False,0,Associate Degree,1999,False
103265,False,0,High School,2007,False
103266,True,6,Associate Degree,1993,False
103267,False,0,High School,2005,False
103268,False,0,PhD,2004,False
103269,True,2,Bachelor,2006,False
103270,False,0,Associate Degree,2006,False
103271,False,0,Bachelor,2002,False
103272,True,2,High School,2007,False
103273,True,1,High School,2004,False
103274,False,0,High School,1990,False
103275,True,8,Associate Degree,1999,False
103276,True,7,PhD,1998,False
103277,False,0,High School,2008,False
103278,True,5,Bachelor,2003,False
103279,True,2,Associate Degree,2000,False
103280,True,5,Bachelor,2004,False
103281,True,1,High School,2007,False
103282,True,2,Associate Degree,2005,False
103283,False,0,High School,2007,False
103284,True,3,High School,2006,True
103285,True,1,Bachelor,1997,False
103286,True,1,Associate Degree,2000,False
103287,False,0,Associate Degree,2005,False
103288,True,1,Associate Degree,2006,False
103289,True,1,Bachelor,2004,False
103290,True,6,Bachelor,2003,False
103291,True,8,Bachelor,1995,False
103292,True,2,High School,1991,False
103293,True,1,High School,2002,False
103294,False,0,Bachelor,2005,False
103295,True,2,Bachelor,2000,False
103296,True,1,Associate Degree,2006,False
103297,True,1,Bachelor,2003,False
103298,False,0,Bachelor,2003,False
103299,True,2,Associate Degree,2003,False
103300,False,0,High School,1999,True
103301,False,0,Bachelor,2004,False
103302,False,0,High School,2007,False
103303,True,7,Associate Degree,2002,True
103304,True,2,High School,1994,False
103305,False,0,Bachelor,2002,False
103306,False,0,High School,2007,False
103307,False,0,High School,2008,False
103308,False,0,Associate Degree,2003,False
103309,True,1,Associate Degree,1992,False
103310,False,0,Bachelor,2004,False
103311,False,0,Master,2003,False
103312,False,0,High School,2008,False
103313,True,3,Associate Degree,2005,False
103314,True,2,Bachelor,2002,False
103315,False,0,Associate Degree,2002,False
103316,True,6,Master,1993,False
103317,False,0,Associate Degree,2004,False
103318,True,3,Bachelor,2002,False
103319,True,2,High School,2003,True
103320,True,2,High School,2007,False
103321,True,1,Associate Degree,2003,False
103322,False,0,High School,2002,False
103323,True,2,Bachelor,1998,False
103324,True,5,Master,1994,False
103325,True,1,High School,1995,False
103326,False,0,High School,2006,False
103327,True,8,Bachelor,1999,False
103328,False,0,Bachelor,2001,False
103329,True,2,Associate Degree,2005,False
103330,True,2,High School,2005,False
103331,True,1,Associate Degree,2005,False
103332,False,0,High School,2005,False
103333,False,0,High School,2008,False
103334,True,1,Bachelor,1996,False
103335,False,0,Bachelor,2002,False
103336,True,1,High School,2001,False
103337,True,1,Associate Degree,1995,False
103338,True,5,High School,2004,False
103339,True,3,Associate Degree,2005,False
103340,True,7,Master,2002,False
103341,True,2,Bachelor,2003,True
103342,True,1,High School,2003,False
103343,False,0,Associate Degree,2000,False
103344,True,1,Bachelor,2003,False
103345,True,1,Bachelor,1996,False
103346,True,1,Associate Degree,2000,False
103347,True,3,Bachelor,2000,False
103348,True,1,Associate Degree,1993,False
103349,True,1,Associate Degree,1999,False
103350,False,0,PhD,1998,False
103351,True,1,High School,1997,False
103352,True,9,Bachelor,2000,False
103353,True,5,Bachelor,1999,False
103354,False,0,Bachelor,1993,False
103355,True,8,Bachelor,1999,False
103356,True,4,High School,2005,False
103357,True,4,Bachelor,1997,False
103358,False,0,PhD,2002,False
103359,True,1,Bachelor,2003,False
103360,True,4,High School,2005,False
103361,False,0,Bachelor,2003,False
103362,False,0,Bachelor,1996,False
103363,True,2,High School,2007,False
103364,True,2,Bachelor,2002,False
103365,True,4,High School,2005,True
103366,True,1,Associate Degree,2001,False
103367,True,2,Bachelor,1999,False
103368,True,1,Bachelor,2002,False
103369,False,0,Associate Degree,2003,False
103370,True,1,Associate Degree,1989,False
103371,True,2,High School,2004,False
103372,True,4,Bachelor,2004,True
103373,False,0,Associate Degree,2002,False
103374,True,1,High School,2000,False
103375,True,2,High School,2007,False
103376,True,4,High School,2004,False
103377,True,2,Bachelor,1999,True
103378,False,0,Bachelor,1999,False
103379,False,0,High School,2003,False
103380,True,2,High School,1999,False
103381,True,1,Bachelor,2000,False
103382,True,1,PhD,1999,True
103383,True,7,Associate Degree,2002,False
103384,False,0,High School,2002,False
103385,False,0,High School,2007,False
103386,True,5,Bachelor,1995,False
103387,True,3,High School,2005,True
103388,False,0,Bachelor,1993,True
103389,True,3,Associate Degree,2002,False
103390,True,3,Associate Degree,2006,False
103391,False,0,High School,2008,False
103392,False,0,Bachelor,1997,False
103393,True,1,Bachelor,2006,False
103394,True,2,Bachelor,2003,False
103395,True,3,High School,2006,False
103396,True,1,Associate Degree,2003,True
103397,False,0,High School,2001,False
103398,True,5,Associate Degree,2004,False
103399,True,6,Bachelor,2003,False
103400,False,0,Bachelor,1998,False
103401,False,0,High School,2005,False
103402,True,1,Bachelor,2004,False
103403,True,6,Bachelor,2000,True
103404,True,2,High School,1999,False
103405,False,0,Bachelor,2002,False
103406,True,1,Associate Degree,1996,False
103407,True,3,Bachelor,1999,False
103408,False,0,Bachelor,2003,False
103409,True,9,Bachelor,1999,False
103410,True,3,Associate Degree,2000,False
103411,False,0,High School,2007,True
103412,False,0,Bachelor,2000,False
103413,True,2,Master,2004,False
103414,True,1,Associate Degree,1998,False
103415,True,1,High School,2005,False
103416,True,1,High School,1985,False
103417,False,0,Associate Degree,1994,False
103418,True,2,High School,2007,False
103419,True,7,Master,2002,False
103420,False,0,Bachelor,1999,False
103421,False,0,Bachelor,2002,False
103422,True,1,Bachelor,2002,False
103423,False,0,Associate Degree,2000,False
103424,False,0,Bachelor,2002,False
103425,False,0,Associate Degree,1998,False
103426,False,0,Bachelor,2004,False
103427,True,3,Associate Degree,1995,False
103428,False,0,Associate Degree,2003,False
103429,True,4,Bachelor,1994,False
103430,True,3,Associate Degree,2000,False
103431,True,4,High School,2005,False
103432,False,0,Bachelor,1999,False
103433,False,0,High School,2006,False
103434,False,0,High School,2005,False
103435,True,1,Associate Degree,1997,True
103436,True,3,High School,2006,False
103437,True,3,High School,2005,False
103438,True,1,High School,2008,False
103439,False,0,High School,2005,False
103440,False,0,Master,1998,False
103441,True,1,High School,2008,False
103442,True,1,High School,2004,False
103443,False,0,Associate Degree,2004,False
103444,True,1,Bachelor,2002,False
103445,True,1,Bachelor,2003,False
103446,True,1,High School,1997,False
103447,True,2,High School,2004,False
103448,True,3,High School,2003,True
103449,True,3,Associate Degree,2004,True
103450,True,4,High School,2005,False
103451,False,0,Master,2000,False
103452,True,1,Bachelor,2001,False
103453,True,5,Associate Degree,2004,False
103454,False,0,Associate Degree,2004,False
103455,False,0,Associate Degree,2000,False
103456,False,0,High School,1999,False
103457,False,0,High School,2001,False
103458,False,0,High School,2000,False
103459,True,2,High School,2007,False
103460,False,0,Bachelor,2002,False
103461,True,2,Associate Degree,2001,False
103462,True,1,High School,2001,False
103463,False,0,Bachelor,2000,False
103464,True,1,High School,2007,False
103465,True,2,High School,1999,True
103466,True,1,Associate Degree,1999,False
103467,True,2,Associate Degree,2003,False
103468,True,2,High School,2006,False
103469,True,2,Associate Degree,2000,True
103470,True,4,High School,2005,False
103471,True,1,Bachelor,1999,False
103472,False,0,Associate Degree,1994,False
103473,True,2,Associate Degree,1996,False
103474,True,1,High School,2008,False
103475,False,0,High School,2005,False
103476,False,0,PhD,2000,False
103477,True,1,Bachelor,1999,False
103478,True,3,Bachelor,2000,True
103479,True,6,Bachelor,1999,False
103480,True,1,High School,2007,False
103481,True,2,Associate Degree,2001,False
103482,False,0,High School,2006,False
103483,True,1,Associate Degree,2003,False
103484,False,0,Bachelor,1992,False
103485,True,1,High School,2007,False
103486,True,4,High School,2005,False
103487,False,0,Bachelor,2001,False
103488,True,2,High School,2007,False
103489,False,0,High School,2006,False
103490,True,3,Associate Degree,2006,False
103491,True,8,Bachelor,1994,True
103492,True,1,High School,2001,False
103493,True,1,High School,1991,False
103494,True,1,High School,2007,False
103495,True,5,High School,2004,False
103496,True,3,High School,2005,False
103497,False,0,Bachelor,2003,False
103498,True,2,Bachelor,2003,False
103499,False,0,Bachelor,1996,False
103500,False,0,High School,2006,True
103501,True,3,Bachelor,2002,False
103502,True,3,Associate Degree,2006,False
103503,True,1,High School,2005,False
103504,True,1,High School,2008,False
103505,True,1,Associate Degree,2004,False
103506,False,0,High School,2005,False
103507,False,0,High School,1995,False
103508,True,1,High School,2005,False
103509,True,2,Bachelor,2005,False
103510,False,0,Associate Degree,2005,False
103511,False,0,High School,1992,False
103512,False,0,High School,2005,False
103513,False,0,Bachelor,1997,False
103514,False,0,Bachelor,1996,False
103515,True,5,High School,2004,False
103516,True,5,Bachelor,2003,False
103517,True,2,Associate Degree,2005,False
103518,True,5,Bachelor,2003,False
103519,True,5,Bachelor,1993,True
103520,True,3,High School,1991,True
103521,False,0,Associate Degree,1986,True
103522,False,0,High School,2003,False
103523,True,2,High School,2006,False
103524,False,0,Associate Degree,2006,False
103525,False,0,Associate Degree,1993,False
103526,True,3,Bachelor,2003,False
103527,False,0,Bachelor,1998,False
103528,False,0,Bachelor,2004,False
103529,True,4,Associate Degree,2003,False
103530,True,1,Associate Degree,1997,False
103531,True,1,High School,2002,False
103532,False,0,High School,2007,False
103533,False,0,High School,2008,False
103534,True,1,Associate Degree,1998,False
103535,True,1,Bachelor,2002,False
103536,False,0,Associate Degree,2003,False
103537,True,1,High School,2005,False
103538,True,1,High School,2008,False
103539,True,1,Associate Degree,2006,False
103540,True,2,High School,2007,True
103541,True,1,High School,2005,False
103542,True,3,Bachelor,2001,False
103543,True,3,Bachelor,2006,False
103544,True,8,Associate Degree,2001,False
103545,False,0,Master,1999,True
103546,False,0,High School,2001,False
103547,True,5,High School,1999,False
103548,False,0,Bachelor,1994,False
103549,False,0,High School,2005,False
103550,True,5,Associate Degree,2004,False
103551,False,0,Associate Degree,2003,False
103552,True,5,High School,2001,False
103553,True,5,Bachelor,2003,False
103554,True,3,Bachelor,2005,True
103555,False,0,Associate Degree,2004,False
103556,True,1,High School,2001,False
103557,True,1,Bachelor,2003,False
103558,True,2,Associate Degree,2001,False
103559,False,0,High School,2004,False
103560,True,3,Associate Degree,1992,False
103561,True,1,High School,1998,True
103562,False,0,High School,1989,False
103563,True,8,Associate Degree,1995,False
103564,True,1,Bachelor,2002,False
103565,True,8,Associate Degree,1999,False
103566,False,0,High School,2001,False
103567,False,0,High School,1998,False
103568,True,2,Bachelor,2001,False
103569,True,1,High School,2005,False
103570,True,2,High School,2002,True
103571,False,0,Associate Degree,1995,False
103572,True,2,High School,2005,False
103573,False,0,Associate Degree,2003,False
103574,False,0,High School,2001,False
103575,True,1,Associate Degree,1996,False
103576,False,0,High School,1992,False
103577,True,1,High School,2008,False
103578,True,1,High School,2008,False
103579,False,0,Associate Degree,2005,False
103580,False,0,Associate Degree,2006,True
103581,False,0,Associate Degree,1997,False
103582,True,1,Associate Degree,2003,False
103583,False,0,High School,2003,False
103584,False,0,Associate Degree,1996,False
103585,True,8,Bachelor,1991,False
103586,True,7,Bachelor,1993,True
103587,False,0,Master,2001,False
103588,False,0,High School,1983,False
103589,True,2,Associate Degree,2000,False
103590,True,8,Associate Degree,1992,False
103591,True,2,High School,2001,False
103592,False,0,High School,2000,False
103593,False,0,High School,1991,False
103594,True,3,Associate Degree,2004,False
103595,True,2,High School,1998,False
103596,True,2,High School,2007,False
103597,True,5,High School,1987,False
103598,True,5,Associate Degree,1996,False
103599,True,2,Bachelor,1994,False
103600,False,0,Associate Degree,2005,False
103601,False,0,Associate Degree,1998,False
103602,True,2,Associate Degree,2000,False
103603,True,2,Associate Degree,2004,False
103604,True,1,Master,1999,False
103605,True,4,Bachelor,2002,True
103606,True,2,Associate Degree,2003,True
103607,True,3,Associate Degree,2006,False
103608,False,0,Associate Degree,2001,False
103609,False,0,High School,2004,False
103610,False,0,Bachelor,1990,False
103611,False,0,Associate Degree,2000,False
103612,False,0,High School,2005,False
103613,True,3,Bachelor,1996,False
103614,True,3,High School,1999,False
103615,True,1,Bachelor,1996,False
103616,True,3,High School,2006,False
103617,False,0,High School,1997,False
103618,False,0,High School,2006,False
103619,True,3,Bachelor,2002,False
103620,True,2,High School,2000,False
103621,True,1,High School,2008,False
103622,False,0,High School,2000,False
103623,False,0,High School,2008,False
103624,True,1,High School,2004,False
103625,False,0,Associate Degree,2006,False
103626,False,0,Associate Degree,2006,False
103627,False,0,High School,2000,False
103628,True,8,Bachelor,1999,False
103629,True,2,High School,2007,False
103630,True,7,Bachelor,2000,False
103631,False,0,Bachelor,1995,True
103632,True,1,Associate Degree,1991,False
103633,True,3,Bachelor,1996,False
103634,False,0,Associate Degree,1995,False
103635,False,0,High School,2007,False
103636,True,3,Bachelor,2004,False
103637,True,1,High School,2007,False
103638,True,5,Bachelor,2001,False
103639,True,4,High School,1995,False
103640,True,5,Bachelor,2000,True
103641,True,7,Bachelor,2001,False
103642,False,0,Bachelor,2001,False
103643,True,2,Associate Degree,2006,False
103644,False,0,Bachelor,2004,False
103645,False,0,Bachelor,1992,False
103646,False,0,High School,2006,False
103647,False,0,Associate Degree,2001,False
103648,True,3,Bachelor,1999,True
103649,False,0,Associate Degree,2006,False
103650,True,7,Associate Degree,1999,False
103651,True,10,PhD,1998,False
103652,True,7,Associate Degree,2001,False
103653,False,0,Associate Degree,2000,True
103654,True,4,Associate Degree,1999,False
103655,True,3,High School,2006,False
103656,True,2,High School,1998,True
103657,True,2,Master,2004,True
103658,True,2,High School,2007,False
103659,False,0,Bachelor,2002,False
103660,False,0,Bachelor,2003,False
103661,False,0,High School,2003,False
103662,True,5,Associate Degree,2003,False
103663,False,0,Bachelor,1999,False
103664,False,0,Bachelor,1990,False
103665,True,3,Associate Degree,2004,False
103666,False,0,Bachelor,2001,False
103667,False,0,Associate Degree,1998,False
103668,False,0,Bachelor,2004,False
103669,False,0,High School,1999,False
103670,True,1,High School,2008,False
103671,True,5,High School,1988,False
103672,True,2,Master,1994,False
103673,True,1,High School,2002,False
103674,True,7,Bachelor,1993,False
103675,False,0,Master,2003,False
103676,True,2,Associate Degree,2004,True
103677,True,4,High School,1999,False
103678,False,0,High School,2006,False
103679,True,4,Bachelor,1984,False
103680,True,2,High School,2007,True
103681,True,1,Bachelor,2001,False
103682,False,0,Associate Degree,2001,False
103683,True,5,High School,2004,True
103684,False,0,Associate Degree,2004,False
103685,False,0,High School,2007,False
103686,False,0,Associate Degree,2005,False
103687,True,2,Associate Degree,2002,False
103688,True,1,Associate Degree,2005,False
103689,False,0,Bachelor,2003,False
103690,False,0,Bachelor,2006,False
103691,True,2,Bachelor,1999,False
103692,True,1,Bachelor,2000,False
103693,False,0,Bachelor,2004,True
103694,True,2,Bachelor,2003,True
103695,True,5,High School,2003,True
103696,True,1,Associate Degree,2003,False
103697,False,0,High School,2001,False
103698,False,0,Bachelor,2005,False
103699,False,0,Master,2003,False
103700,False,0,Associate Degree,2002,True
103701,True,4,Associate Degree,2005,False
103702,True,2,Associate Degree,2002,False
103703,True,1,High School,2003,False
103704,False,0,Associate Degree,2005,False
103705,True,1,Master,1999,True
103706,True,1,Master,1999,False
103707,True,2,Associate Degree,1996,False
103708,True,1,Bachelor,1989,False
103709,True,3,Master,2003,False
103710,True,1,Associate Degree,2005,False
103711,True,1,Bachelor,1999,False
103712,True,1,High School,1996,False
103713,True,5,High School,2004,False
103714,True,1,High School,2003,False
103715,True,2,Associate Degree,2001,False
103716,True,3,Bachelor,2002,True
103717,True,1,High School,2007,False
103718,True,1,Bachelor,1987,True
103719,True,2,PhD,1994,False
103720,True,1,Bachelor,1997,False
103721,True,4,Bachelor,2005,True
103722,True,4,High School,1998,True
103723,False,0,Bachelor,2002,False
103724,False,0,Bachelor,2004,False
103725,True,1,High School,2006,False
103726,False,0,High School,2005,False
103727,False,0,High School,2004,False
103728,True,1,High School,2007,False
103729,True,6,Bachelor,2003,False
103730,True,1,Associate Degree,2004,False
103731,True,1,Bachelor,2002,True
103732,True,1,Associate Degree,1994,False
103733,False,0,High School,2008,False
103734,True,1,High School,2008,False
103735,True,2,PhD,1998,False
103736,True,4,Bachelor,2003,False
103737,False,0,Associate Degree,2002,False
103738,False,0,Associate Degree,1995,False
103739,True,2,Associate Degree,1998,True
103740,True,1,High School,2005,False
103741,False,0,Master,2002,False
103742,True,1,High School,1993,False
103743,False,0,Bachelor,2002,False
103744,True,5,Associate Degree,2003,False
103745,True,1,Bachelor,2004,True
103746,True,1,Associate Degree,2003,False
103747,True,5,High School,2004,False
103748,True,1,Bachelor,1999,False
103749,True,1,High School,1998,False
103750,False,0,Associate Degree,2004,False
103751,False,0,High School,2003,False
103752,True,2,Bachelor,2002,False
103753,True,2,Bachelor,1999,False
103754,True,2,PhD,1998,False
103755,True,4,Master,2002,True
103756,True,1,High School,2007,False
103757,True,3,Associate Degree,1998,False
103758,True,3,High School,2002,False
103759,True,2,High School,2007,False
103760,False,0,Associate Degree,1996,False
103761,False,0,Bachelor,1995,False
103762,False,0,High School,2001,False
103763,True,2,Bachelor,2002,False
103764,True,4,Associate Degree,1999,True
103765,False,0,Associate Degree,2001,True
103766,False,0,Associate Degree,2004,False
103767,True,1,Bachelor,1999,False
103768,True,3,Bachelor,2006,True
103769,True,2,Associate Degree,2001,False
103770,True,4,Bachelor,1994,False
103771,False,0,Bachelor,1996,False
103772,False,0,High School,1996,False
103773,True,7,Associate Degree,1998,False
103774,False,0,High School,2007,False
103775,False,0,Associate Degree,2004,False
103776,False,0,Bachelor,2001,False
103777,True,4,Bachelor,2002,False
103778,True,2,Bachelor,1995,False
103779,False,0,Associate Degree,2004,False
103780,False,0,High School,1998,False
103781,False,0,Bachelor,2000,False
103782,True,2,Associate Degree,2004,True
103783,False,0,High School,1999,False
103784,True,1,High School,1999,False
103785,True,1,Bachelor,2001,False
103786,True,4,High School,2002,False
103787,True,1,Associate Degree,2003,False
103788,True,1,Bachelor,2002,False
103789,True,3,High School,1995,True
103790,True,2,Associate Degree,2003,False
103791,True,3,High School,2006,False
103792,True,1,Bachelor,2001,False
103793,True,3,Bachelor,2005,True
103794,True,2,Bachelor,1999,True
103795,False,0,High School,1998,False
103796,False,0,High School,2003,False
103797,True,1,Bachelor,2004,False
103798,True,3,Associate Degree,2006,False
103799,True,2,Bachelor,2001,False
103800,True,3,Bachelor,2003,False
103801,False,0,High School,2001,False
103802,True,2,High School,2004,False
103803,False,0,High School,2004,False
103804,True,1,Associate Degree,2006,False
103805,False,0,High School,1995,False
103806,True,4,Associate Degree,2002,False
103807,False,0,Bachelor,1997,False
103808,False,0,High School,2003,False
103809,False,0,High School,2005,False
103810,False,0,Bachelor,2004,False
103811,True,1,Associate Degree,2001,True
103812,False,0,Associate Degree,2000,False
103813,False,0,High School,2006,False
103814,False,0,High School,2000,False
103815,False,0,High School,1991,False
103816,False,0,Associate Degree,2001,False
103817,True,7,Master,2002,False
103818,False,0,High School,1999,False
103819,False,0,High School,1995,False
103820,False,0,High School,1993,False
103821,False,0,Associate Degree,2002,False
103822,True,2,Bachelor,2002,False
103823,False,0,Associate Degree,2005,False
103824,True,6,High School,1997,False
103825,True,2,Bachelor,2003,False
103826,True,1,High School,2008,False
103827,False,0,Bachelor,2001,False
103828,False,0,Associate Degree,1991,False
103829,True,3,High School,2006,False
103830,True,4,Associate Degree,1998,True
103831,False,0,High School,2008,False
103832,True,5,High School,2000,True
103833,True,1,Associate Degree,1991,False
103834,True,7,Master,2001,False
103835,True,2,Associate Degree,2005,False
103836,False,0,Associate Degree,2004,False
103837,False,0,High School,2005,False
103838,True,2,PhD,2004,False
103839,False,0,Bachelor,2000,False
103840,True,1,PhD,2001,False
103841,True,2,High School,1999,False
103842,True,1,High School,2008,False
103843,False,0,Associate Degree,2001,False
103844,False,0,High School,1997,False
103845,False,0,Bachelor,2005,False
103846,False,0,Associate Degree,2006,False
103847,True,3,Associate Degree,1998,False
103848,True,6,Associate Degree,2002,False
103849,True,2,High School,2007,False
103850,True,2,High School,2007,False
103851,True,2,High School,2006,False
103852,True,1,Associate Degree,2002,False
103853,False,0,Associate Degree,2004,False
103854,False,0,Associate Degree,2005,True
103855,True,1,High School,2008,False
103856,True,2,High School,2007,False
103857,False,0,Associate Degree,2000,False
103858,True,2,High School,2005,False
103859,False,0,Bachelor,2002,False
103860,True,1,Associate Degree,2006,False
103861,True,1,High School,1996,False
103862,False,0,Associate Degree,2002,False
103863,True,2,High School,2005,False
103864,True,1,Associate Degree,2002,False
103865,True,1,Associate Degree,2004,False
103866,False,0,Bachelor,1999,False
103867,True,4,High School,1999,False
103868,True,2,High School,2006,False
103869,True,6,Bachelor,2002,False
103870,False,0,High School,2007,False
103871,True,7,Bachelor,1997,False
103872,True,1,High School,2008,False
103873,False,0,Bachelor,1992,False
103874,True,3,High School,2006,False
103875,True,2,Bachelor,1998,False
103876,True,4,High School,2003,False
103877,True,1,High School,2005,False
103878,False,0,High School,2002,False
103879,True,4,Associate Degree,2002,False
103880,True,1,Associate Degree,2003,False
103881,False,0,High School,2005,False
103882,True,3,Bachelor,2001,False
103883,True,4,High School,2005,False
103884,True,1,High School,1992,False
103885,True,4,Associate Degree,2005,False
103886,True,1,Associate Degree,2002,False
103887,True,2,High School,2007,False
103888,False,0,High School,2000,False
103889,False,0,High School,2001,False
103890,False,0,High School,2004,False
103891,True,8,Bachelor,1998,True
103892,True,2,Associate Degree,1995,False
